Id,Nombre,Equipo,Puntaje,Competencias
94438,IUSZAERYK,McLaren,1621.57,165
71970,FFLJCVLCG,Honda,2212.53,5
4825,FBKEOLHIB,Pirelli,9942.24,175
51897,TZUQIJQWM,Alfa Romeo,4336.01,200
12569,PZVCTPBWX,Bridgestone,3599.67,98
64364,MIVNHEOXO,Texaco,2323.29,28
54080,ATLEUUZSQ,BMW,4896.38,196
49096,GARINRSTN,Shell,3648.17,66
37243,FHYIYNWDJ,Mobil 1,657.38,120
49377,WEXCMJCXD,Goodyear,7606.89,158
91674,QVPCCXIUJ,Texaco,1536.53,113
29675,LJTMMSNID,Haas,3395.47,93
63267,IWWAMNHJF,Bugatti,9702.14,179
62516,MZVINJBVP,Oracle,8514.74,2
34339,OVQQARIOQ,Kia,3230.09,105
67339,JLMXLSRKE,Oracle,8346.10,73
84826,WIBJUNEFE,Texaco,5159.80,147
30733,HVKJCTEFW,Porsche,9747.68,87
10120,DLDEVKSJC,Castrol,6436.90,163
53852,NQJEYYMIV,Castrol,6229.84,98
69094,QHQOQBEJB,Porsche,1453.31,2
25534,VHABOVYXQ,Mercedes-Benz,7975.29,88
10933,XMUQHLESM,Monster,144.75,15
80351,WILDEWXCS,Bugatti,1877.71,93
50108,GEDYOKCVD,Shell,1210.74,132
4743,TNLRXXDQO,Dodge,534.32,153
50026,SDNZTRFNQ,Brembo,3938.15,188
49960,HVWWOXVUF,Subaru,1892.02,146
15890,CAPEBXQKU,Ferrari,3948.37,88
50705,JOJMJMZWK,Honda,6222.40,180
15832,QGLEBLJQK,Subaru,6021.71,1
85846,TUTMOBXVY,Volvo,6910.17,179
3676,LITXJHBYU,Chevrolet,4239.98,17
84195,JILTIEBWU,Audi,3475.65,114
99360,VBPNAVKNE,Renault,4268.12,57
77051,QVEUUYVDE,McLaren,1957.18,82
1548,ZZGMQQLYH,Red Bull,140.72,29
10797,SMDSFPZHT,Williams,8420.02,101
82876,XDONDXKXH,Chevrolet,3783.44,14
86654,LCFDNOZZO,Petronas,9082.24,88
93299,UZQQBKQQK,Peugeot,9886.34,189
9620,QIYLNIJWU,Kia,779.19,2
68693,CSWCUOFOP,Chevrolet,1330.91,98
14664,JTTTTEUXA,Bosch,885.89,193
35972,KTANQWYEY,Volvo,5935.90,190
37062,TCRLVTQMN,Aston Martin,3139.73,55
29427,HXUIYDOSB,Peugeot,5983.58,12
91005,GOFGGNIGO,Brembo,3275.47,11
72805,HNRZQTQNI,Petronas,8224.48,110
71455,ZTSVRZOKT,Toyota,3930.62,110
90393,SVZVJCRED,Porsche,2402.70,137
43099,BPMAWBQEV,Oracle,5266.64,44
81394,OIGXMNGTZ,Pirelli,5612.33,18
41600,ZGYEUEHQI,Shell,733.26,146
63523,OFOQHTZAB,Williams,2145.63,77
43527,FPDNXPNAD,Petronas,6792.77,200
80025,NOAMLDUPQ,Goodyear,7950.52,122
62129,OXQCEUHVW,Bugatti,2627.51,122
1166,YPKDDROLE,Brembo,1321.48,55
24072,DFPEIGQVR,Alfa Romeo,5766.35,109
11104,MGHUSWHGW,Aston Martin,1612.52,171
30169,VFBACJAJP,Porsche,7829.79,183
52108,IRFSDYJVA,Chevrolet,2783.62,71
13993,USDBFFWRC,Castrol,1483.45,123
4659,UKLUXOBXL,BMW,6032.41,150
25424,NTDMIRZCP,Monster,2241.99,152
45901,LLZQJWKSE,Hyundai,8127.07,46
30996,PFRYBXAYT,Williams,5118.27,70
15783,MUMJRNQNB,Castrol,8304.47,127
86281,YQHMNZSOQ,Toyota,3162.66,82
83629,FBOAKYKXB,Nissan,4547.41,16
54998,ELPZCUJMS,Bosch,4048.86,146
69993,ORCINZZWU,Dodge,2744.91,54
55357,FOCRKGAHT,Volvo,5110.66,7
49666,CDRCXPRYU,Pagani,986.83,104
99710,BRTEQXTBF,Brembo,5119.35,187
39246,RZXIBPLUG,Hyundai,1267.23,57
74833,BHIBGAYHG,Goodyear,791.40,160
6716,ICHFBLYCD,Jaguar,3753.83,116
91338,GSIGBYNGH,Alfa Romeo,2480.23,136
47047,TUPOJSFKV,Aston Martin,4448.28,63
18507,HPJFFIMCO,Jeep,4793.37,173
99797,DYPWQUECW,Lamborghini,9137.27,166
76696,UAJHRTARH,Pirelli,4173.37,193
28199,HDDYDCQPQ,Alfa Romeo,6460.02,170
83949,EFYMVRYFP,Bugatti,5914.02,83
85204,SUMIPPITR,Kia,8967.44,199
71254,WTIVMUUTN,Williams,5154.40,114
25789,DOBVNRWTC,Mobil 1,3651.35,6
68907,MAHEPGQJA,Pagani,2255.00,65
55067,MREGTSVPU,Haas,6607.82,171
55027,SKGKDMDDB,Mobil 1,1627.80,5
24162,FPXLWJZLN,Brembo,1702.64,126
63465,SXSWXWMKS,Mobil 1,4393.39,72
30276,IPLBKFPLV,Porsche,3711.94,70
92552,QPLYBZKJO,Monster,5395.36,56
19463,PUKBSVEZP,Koenigsegg,7609.44,20
249,GLLWXHBYD,Oracle,5891.20,81
52016,MQSXJHDJE,Aston Martin,7922.16,41
61532,RROLWCPLF,Renault,7590.39,65
88125,GTRMKHWPT,Peugeot,4327.71,63
64683,MRYQRCSLI,Shell,664.07,76
22150,FRMQHWJZO,Toyota,6672.89,195
92738,HXSLNZYMD,Land Rover,7919.58,17
62558,IGNHPYFSE,Red Bull,2021.93,84
42688,INQSPFUTX,Porsche,1756.46,189
18751,DVUZOAOUN,Shell,3192.70,34
43684,VZQGDBKPO,Alfa Romeo,3942.04,64
61445,RNEQLMWWI,Kia,1183.54,69
77094,GCKMXZUXG,Subaru,3844.37,24
58928,GENZERQQB,Alfa Romeo,3498.50,188
4990,ECOFDUENX,McLaren,9193.54,45
90667,NAPKIZATR,Bridgestone,4070.02,37
24868,VDBCTQPIK,Goodyear,2545.03,85
22300,RPAYNZRBZ,Jeep,5429.65,3
20145,VXVJOWFRU,Monster,2684.61,1
82745,MGLSCQYGM,Castrol,8697.95,153
10290,ZAHAOPQLT,Texaco,9404.18,107
18382,KEKTXQDTZ,Subaru,2717.24,9
1048,SFBCIYHEG,Ferrari,6358.73,161
99422,TFOLYOEVM,BMW,2526.21,77
88202,YFAVUXZUP,Porsche,9268.78,20
93052,OUYZGEQDH,Kia,1149.10,64
31173,ADXMBZXGB,McLaren,2985.57,126
77273,CHMKFHAUR,Jaguar,5516.14,45
67701,NMXCCHXPC,Citroën,8233.81,74
70162,ORDLVEIJH,Ferrari,1491.51,65
87225,ALBNVODZL,Red Bull,8868.48,81
83849,LEXUFRBRT,Mercedes-Benz,7848.36,154
5570,XYGAHHYOW,Bosch,1560.96,24
5965,ILSUWWRKZ,Citroën,5189.36,52
21204,ZTTNBJENG,Brembo,4229.63,187
66915,NDNMLOFSK,Lamborghini,3273.19,94
44893,RGAXNWLBY,Monster,5458.29,21
51914,OKFUYZWZT,Texaco,5893.53,106
2072,CPZUEYQJO,Red Bull,48.36,12
67859,CNPRYLOVR,Lotus,472.45,25
34558,FSHYGHEFM,Mercedes-Benz,9202.07,179
40178,QLIIBCXSO,Peugeot,752.69,36
5686,ODAZTQPQQ,Ford,8084.47,62
7450,WTZBSWKGG,Pirelli,720.57,75
7755,GZPACHSVB,Sauber,6317.94,74
85760,MOIMPCHPX,Castrol,9577.94,13
76760,XANQLDLTA,Porsche,1418.87,69
24517,QIAMGNDRQ,Ford,2622.47,37
99288,NDRDRTVHY,Bugatti,8420.51,38
89737,MUEJJUGEU,Brembo,3660.26,146
3734,YOOYKKBKF,Audi,1554.10,129
78973,PTDWOWFUR,Pirelli,3306.51,132
30570,WEJRTFXMX,Audi,9523.88,134
15765,RETNLJZWT,Dodge,9965.04,7
76014,RUOECCZUJ,Jeep,8026.13,62
26913,MYOGFKXMV,Williams,4098.26,69
41573,MBFEDKWZV,Castrol,9940.37,103
20553,NKDMCPNDJ,Sauber,4053.21,10
84082,PQSDBJNBL,Koenigsegg,1453.00,140
64645,YGOCDVLXL,McLaren,8959.89,140
33484,JKGOWFVGT,Goodyear,9811.04,63
25443,EQQTMMBQZ,Koenigsegg,2013.37,118
35139,EAKVJVZOB,Jeep,1145.54,179
4359,NAFUDZMZM,Bosch,8360.35,189
15220,OXXKPQQPH,Monster,4524.24,28
29638,VRWWXGNBF,Williams,6924.36,11
4346,FFYOEXYZM,Peugeot,4738.23,138
42959,EDUOICZNF,Mazda,9786.48,6
28149,JSYFTIOKS,Pagani,9732.25,39
82141,FETWROHOA,Aston Martin,9397.39,71
1343,MZGXYBJZF,Aston Martin,3657.86,98
86067,VLXSYMVUD,Brembo,1896.04,45
92575,YKNXUTSCK,Honda,1520.17,159
51164,SVPLVSHPK,Alfa Romeo,5900.19,144
52158,BLVIRUBWX,Dodge,4786.67,166
55807,UJNETZPQK,Nissan,6929.27,59
64002,NFCDBWANW,Michelin,5712.55,138
63086,MGGAHODZE,Kia,5193.73,120
18811,GHZQACJWO,Bridgestone,7090.21,81
55145,KSOKRIRUM,Renault,1145.91,34
46255,XETVSTWQP,Audi,8671.83,89
18334,EYSQHBDYU,Bosch,3396.64,54
59833,NUJCEMVJL,Bugatti,9988.23,139
30922,UDHJHUBRV,Shell,438.95,38
51125,TVRSLAFFT,Honda,5380.47,85
10851,YKBOSDLJQ,Bugatti,1387.07,168
38051,XSXZEOTSN,Hyundai,8573.70,61
54399,SBLTHHBTX,Goodyear,4687.74,111
7601,LTWTGZEXD,Porsche,9503.01,82
97218,TAEWVPFTK,Castrol,4465.46,190
10594,NUZNEYDGO,Citroën,4934.94,146
44544,RBSJKGSXD,Lotus,7950.38,33
87870,WXODDNOPO,Oracle,1438.67,71
43261,JWYANZMGC,McLaren,57.28,16
53788,DGMIQSTWR,Alfa Romeo,9413.80,159
75700,PBXZIQCAE,Bridgestone,1345.99,129
69359,SDQIZOGTW,Ford,6513.59,35
82140,OPCZDQNXX,Renault,1466.74,143
33764,MZUGNWQUT,Shell,819.21,173
29932,OWQGARPIU,Goodyear,2545.13,178
21419,JVSGLHMZZ,Castrol,3865.85,44
62185,JMVOHCRLE,Sauber,9468.90,52
44199,OQBTTRTOS,Aramco,8620.72,120
6590,ZLIJFJAWL,Volkswagen,9849.56,127
96515,YPLURSLNX,Land Rover,4966.08,133
17430,YIMGRUZBQ,Toyota,2852.08,7
60844,GQSIOYYIE,Chevrolet,9103.29,99
14528,OBHFTSWXP,Volvo,305.53,111
30696,KHGLFADOU,Lotus,4331.86,172
21145,OBBWVPDZJ,Petronas,46.25,150
22068,AQGKORQJE,Volkswagen,3261.26,78
71321,NKNDPQYFV,Texaco,4300.65,159
14461,HBHALNJHM,Aramco,5489.30,93
26044,NHTEPYIJO,Lamborghini,7349.92,64
53134,UJWGADXST,Dodge,958.56,115
50043,IOXGAVLAK,Toyota,471.80,108
54086,OQMSKPZMG,Pirelli,4726.15,174
4041,GWTTZCNWF,Pagani,4031.14,121
27903,MOEGODRBB,Maserati,4146.31,36
76093,URQUEYPWL,Volkswagen,3557.43,138
47364,HEVWCEQFZ,Citroën,9767.60,57
9113,DYLDEMVQF,Bugatti,2457.73,191
31379,QIAGPKNLQ,Sauber,2942.83,151
20394,CPJCCPGND,Renault,9035.27,145
80641,YKJHZRDNA,Porsche,737.09,92
38344,YLGONQVKM,Koenigsegg,4132.05,196
41501,FZEFIZFFJ,Oracle,6787.60,116
93749,SSNDFAPIJ,Michelin,9220.90,174
58598,PAGEUYOAY,Pirelli,5048.54,24
29137,SBLZFNOQQ,McLaren,937.35,35
22395,BFXMDRPLV,Nissan,381.20,153
96092,GRLFMQJON,Subaru,1010.13,38
71833,EPZIHPKKH,Dodge,9515.95,75
26974,SEBUFANZX,Castrol,6389.29,80
81910,JMBCYXIMM,Shell,7180.23,20
7316,CATZCQYSY,Subaru,4012.23,198
13667,XPATIWQHW,Kia,7617.28,76
68436,UMSMMQAWG,Honda,1469.44,1
9887,BVRMOTAGH,Petronas,422.92,36
13920,AUTSFEDYM,Koenigsegg,2070.10,70
229,KWETIBYTK,Koenigsegg,3840.99,55
53762,JLYSKFZFZ,McLaren,5190.66,5
64815,GQCDFQNOG,Renault,5469.10,62
74403,VOEFHEZRR,Chevrolet,6047.92,44
23124,IIBKFPKCY,Alfa Romeo,4994.59,161
84623,QIEUJAIHX,Goodyear,1029.02,165
70159,KCUOYUTUV,Castrol,8370.95,164
8980,OFNYWGCOC,Sauber,2578.38,42
12956,UFIHIPFKF,Goodyear,9312.81,127
70067,DDYPDPSSK,Bugatti,3961.62,199
83291,PHBVSXELJ,Ford,2503.06,150
12728,GOQGZSOUV,Castrol,4603.53,60
95430,LSXNXXLRQ,Sauber,9998.76,43
45444,YURAIULUW,Ford,6223.80,124
59693,YCYYETNJI,Chevrolet,8842.49,60
2766,YMTVBLZHU,Pirelli,3382.68,128
78231,PTKIIQERJ,Aston Martin,9759.64,55
93771,VAVSBKIXC,Mercedes-Benz,7283.85,94
16098,PWQPRALNW,Goodyear,9053.99,101
92680,DNQAZFRZE,Lamborghini,7192.60,75
68803,MFYTSHPPJ,Alfa Romeo,9568.47,192
12489,GGZGUJGZT,Lamborghini,1776.75,48
9726,KCYPLHOPW,Nissan,3747.87,130
9484,XVXXEYWWS,Koenigsegg,4092.32,131
14247,SASGGGOCQ,Land Rover,3729.30,134
59529,ECOTOKCLX,Citroën,2399.61,101
31764,BCDFEYMIA,Red Bull,6376.80,45
63052,HIFMKVANG,Nissan,4695.96,175
17002,KEBUQPMLV,Hyundai,1331.68,32
24324,OHQQQMPAA,Goodyear,9290.51,60
70522,MLGNHRMVQ,Red Bull,1821.96,91
13412,GMBNYCVSQ,Oracle,9230.91,62
98597,XPCLEDMMT,Michelin,4475.61,141
10295,GTFOTHNIC,Sauber,8783.01,40
85264,MLNUFFOXD,Castrol,3629.89,152
54250,WGQJELUIH,Bugatti,6584.01,65
98124,QNAPZARAV,Citroën,2956.75,162
45296,SECHSENVQ,Hyundai,6485.54,108
71040,GMPMQSLDO,Audi,8881.49,15
35758,YABJKGUFG,Lamborghini,7988.00,192
75298,LSMWMIYBU,Michelin,3247.54,143
4688,TGHFULCLT,Subaru,4438.59,109
70850,TZUQGXISG,Volkswagen,7130.66,108
87637,BIUTBVWRP,Bugatti,4886.90,143
60981,ZRLANGFIR,Lotus,7437.82,122
23205,EALHZXSWD,Bosch,6299.19,157
52295,XCSFJJQFM,Aston Martin,38.96,17
96891,ICAOXBHCJ,Porsche,1639.89,178
43664,CJFDEJXET,Red Bull,6382.37,197
13084,VACHZJRAH,Brembo,4589.30,29
22755,MHZUETASC,Dodge,7244.96,91
5688,USXZIZWWC,Bosch,8369.35,150
82708,AADEOCWFY,Honda,5503.29,61
82134,GVHTWGAGZ,Bugatti,4195.30,115
85847,NTKBDHGKW,Hyundai,2204.76,137
13513,ESFXCICZR,Haas,7814.10,80
12529,ZQNLOZKSR,Dodge,96.79,63
52244,MPIAGOOHC,Renault,1001.33,166
19501,YLLHCOMPM,Hyundai,7028.67,158
95856,DZMZBJRZE,Porsche,6631.74,122
82290,HDRCGBRHY,Kia,7088.79,150
56561,QRZVZVJRT,Citroën,4378.31,49
14544,DWEHOZQCT,Oracle,1849.70,111
23003,VJPIIMQYL,Jaguar,886.48,170
56292,FKMHWTPKM,Red Bull,3687.84,110
76565,ZDESAGQFK,Ford,8365.77,185
22508,IRTOUMCFB,Jaguar,6118.85,153
28454,FIFRZRBEG,Audi,6293.66,78
89742,IPHPZSGGK,Brembo,2934.61,40
91404,ASEDOMGZI,Honda,3185.24,41
92779,ZZQAZEMOV,Audi,4739.67,34
1474,POFFAMNDK,Nissan,7686.41,25
47835,FGNRJDWOV,Porsche,4634.18,93
18656,XBPHGHIOL,Jaguar,7978.46,72
10702,RVDMNYDWX,Subaru,1798.73,179
15348,XUJPQGSPC,Volvo,9248.94,191
14526,BVROLPPOE,Mobil 1,7609.98,57
90918,BGXXEMYFH,Subaru,7565.74,59
13118,NSTZAEJWS,Koenigsegg,4780.94,83
68892,RIAOKNJTB,McLaren,9653.57,99
67640,LCGUQNPYJ,McLaren,9618.20,69
44684,ANJWSGDBC,Toyota,2223.72,141
80243,CPRUACDMY,Dodge,8488.27,83
69615,FKVPWIEYC,McLaren,94.79,47
35776,XNLUCKPPS,Red Bull,8774.62,111
53844,EOWURBWET,Hyundai,4459.38,17
58270,NQAQDSRNA,Mercedes-Benz,9982.60,150
16735,TVAZUDWXF,Toyota,1109.01,185
58535,SYMZDZMAZ,Honda,33.87,2
27767,RSFBBLOMS,Koenigsegg,7963.04,99
26340,SAKOISOXE,Red Bull,3970.89,187
86518,NDQCQIZMN,Hyundai,9076.97,170
10327,BFZVHTVNA,Jeep,6861.21,116
4618,JBNLOZGUR,Toyota,2218.34,56
34969,SZCIBWUMS,Bosch,6098.28,109
28013,EZJISEMZC,Aramco,5740.97,184
27655,HGMGDEECX,Red Bull,9377.67,157
63571,UJQTRFELO,Petronas,4716.08,140
32941,HZQFUCCBZ,Bridgestone,6599.10,80
23105,ESKUUULBD,Aston Martin,8827.70,186
24813,WLGQECAMH,Audi,3506.02,86
58112,SRVDBOHKU,BMW,875.60,24
45513,PABDMVYTG,Nissan,8082.51,22
83157,SNLUUVJUE,Oracle,5426.73,134
49717,XIIRVUDFH,Aramco,1218.41,21
81181,DNTARGRQC,Petronas,5490.49,4
94702,UQJOAUBFF,Peugeot,1362.45,55
31391,MWHUWICCA,Bosch,5970.48,72
28136,VFPEUROJO,Porsche,823.68,41
79710,HATHAABRI,Sauber,5429.82,83
75336,BMGMWFUVQ,Oracle,375.23,113
92688,LIDIGECGV,Ferrari,9432.99,187
70391,OEHPBPPNY,Brembo,2567.72,185
28374,KDVRCPCPZ,Volvo,5971.94,159
79437,NYYLPLIFN,Peugeot,3549.38,183
27659,PLLFVIAEL,Ferrari,5137.37,37
90430,WGRHKVDSN,Porsche,1299.19,29
87215,JUWKRPUBK,Lotus,4844.64,74
81235,CZMTSYAZD,Nissan,5605.65,187
78345,AHQUYNGUV,Michelin,2350.49,135
46949,WPEJDYRFE,Porsche,4512.92,89
33487,EEHXHJFPL,Volkswagen,4162.90,79
63268,ZIXIBMJNQ,Bosch,3389.86,6
58852,HOBMXWFWA,Ford,7879.77,128
52132,RHNMRKBFW,Jeep,3799.95,135
28033,HROJBXYDU,Alfa Romeo,9087.42,133
88120,ETIUEPXXO,Volkswagen,3135.07,73
6237,MCSSNLXWG,Pagani,5791.67,23
92432,FKYOYJLSU,Oracle,5371.47,168
76349,FNKIXUXQE,BMW,1749.57,122
58858,VYYRVYJRC,Shell,8440.23,91
59690,NEVFOAEWA,Bosch,8779.61,96
34429,RNOIXFDZJ,Renault,7361.51,87
78833,ECGRFONDA,Bridgestone,1167.34,60
53419,XYUBFQCEO,Michelin,9736.96,69
19020,AGAHJKMIL,Red Bull,5800.42,173
56816,ZQZLBVQCZ,Hyundai,664.49,154
32454,SWKWKVULU,Dodge,5215.44,37
68228,BRMBDPKFO,McLaren,8599.91,199
45436,KUWNLNNWG,Pagani,8400.49,28
28762,HZWYHHSGD,Peugeot,584.07,41
35959,AZLTIVILX,Peugeot,3360.22,60
6289,FDDAAKCKB,Jaguar,3719.99,26
56717,MFIWNULNJ,Haas,8946.25,4
34390,MJANIASKZ,Williams,4010.45,65
82762,BHGPZSRFC,Brembo,4350.39,169
45971,CWMQSCSRR,Goodyear,3506.62,84
3284,ZUESXKGXY,Dodge,1370.83,118
48226,TXYWGAJZY,Ferrari,1983.67,130
86728,QSODRBYXI,Subaru,4356.09,185
64774,OSDHYAANO,Lotus,8961.81,81
70155,GSJWYJBJO,Goodyear,351.00,173
17417,QLJDOWQTD,Williams,5917.45,88
4438,XZLCNXFPO,Lotus,9661.24,99
61377,ORZHTMULI,Castrol,2817.80,191
80760,QLJWERIBM,Lotus,7366.86,138
66981,GATMXKXGM,Oracle,5784.82,92
44498,HLSQSDVHH,Pirelli,7037.01,30
50970,MEPQLWAEX,Kia,7812.10,93
19129,CWVHSADVN,Aston Martin,9772.29,175
94862,AHHUITXRJ,Brembo,6587.73,146
71663,KEGGBXEUR,Ford,1919.91,200
66737,AZHCAXFKY,Castrol,9345.21,31
32553,QZOMJGNIP,Lamborghini,6319.76,31
29353,VAGGDGQJE,Michelin,3448.56,2
56725,XRMIVPQKE,Maserati,6556.99,125
21943,GYOZNAKXT,Mobil 1,5055.78,109
6066,DNRFJUYAW,Aramco,3412.53,98
15935,VXKLUPEWM,Dodge,4930.67,6
31945,GNBKHSPCM,Land Rover,9109.84,80
2762,KOYRCWVXD,Ferrari,1044.79,126
44051,ELCRVATLL,Goodyear,7157.74,115
18812,FUWRPITGV,Lotus,7823.39,123
33791,XLQZWOSPU,Brembo,7006.65,134
34466,YZYQOGRHU,Monster,5343.84,39
93367,FIFYPMJDQ,Citroën,3612.98,32
21123,XCGHFWPGU,Jaguar,5369.68,25
90478,AQQZWVCNO,Bugatti,8510.63,150
35704,RRARHURCL,Goodyear,7213.99,42
81232,KWUQHLDIQ,Land Rover,5916.00,130
69879,JOPDNSAAM,Pirelli,7863.57,78
399,XOWTPROIF,Sauber,6957.19,179
76939,AVNGLYULR,Pagani,9153.76,191
10138,PXNOMIZXO,Mercedes-Benz,2466.51,99
41069,ASZJLEFZT,Texaco,577.03,135
99664,VVLWYKFCK,Maserati,8946.73,177
72846,LYYHUANEY,Goodyear,7396.04,192
90802,KAGVSXAAC,Bugatti,3554.59,182
7728,LEDVNIHON,Jeep,4331.47,109
37773,WZGPVPZZE,Land Rover,9878.59,137
34724,SGOLXFWNI,Citroën,2425.65,168
27200,GDEBLTDPF,Volkswagen,1252.48,58
14196,TFWESTHIB,Shell,3847.51,4
27933,IPEWWRSVY,Hyundai,5742.57,159
29928,NESWWZPRJ,Alfa Romeo,4060.35,107
5640,USJZPTJOO,Toyota,6959.93,41
80144,GGIPQURJN,Chevrolet,3645.54,36
59951,EPXLTCPYJ,Brembo,4241.94,36
10199,OEAOGYZPK,Maserati,7557.18,193
52837,OEKIANGJB,Land Rover,802.93,188
56411,LURXFEBAL,Mercedes-Benz,3972.06,79
7422,FYGZDVWIK,Haas,3504.36,4
96031,YLIEUGOTK,Nissan,6167.80,2
75591,IFTRVBMSU,Texaco,1625.11,29
36474,SXEKCLLUM,Peugeot,9973.08,70
41970,JFXEYOGJD,Volkswagen,6969.62,184
26721,WRQGWFKKU,Subaru,3979.06,53
4330,YFDVEMBES,Jeep,3173.32,126
66903,GHCVNFNCJ,BMW,6805.09,199
73093,EINAJNBWH,Nissan,7652.10,56
50095,QEDQIKRTF,Koenigsegg,2653.13,52
76287,GFNCNUYMS,Pirelli,6529.35,129
95173,DIHXGYGMC,Toyota,5703.18,75
43387,GJWZJCGQB,Peugeot,8931.71,25
647,QSBUZUPYP,Bosch,2506.06,200
6764,OHZLJRVIQ,Petronas,2336.21,51
28620,WXCKRRCWY,Oracle,7997.25,142
33798,DZRGPLAOU,Land Rover,4692.95,56
83658,CPXTBSNIO,Mazda,9113.89,6
75924,TPNNDFLIJ,Brembo,6147.39,47
90880,SZPLYYYGF,Aston Martin,6345.07,142
81640,UVYEXWLIU,Brembo,833.20,102
75448,SWLIJAAGQ,Pirelli,8126.24,71
83759,AGGLKUIMC,BMW,3191.11,67
91760,LTSQNDUOA,Mazda,6188.72,38
72056,PPDNAFXUX,Shell,5274.92,186
85211,UYQYFEVPF,Sauber,8927.72,86
93337,NWKUOGCDB,Haas,1894.70,196
30022,QUYHTUWGK,Mobil 1,2099.68,42
59414,SPAFDVSGJ,Bridgestone,8816.31,165
70163,ZWLTGKKCB,Kia,4907.68,6
74515,JIFQELBRO,BMW,338.26,177
88230,CJXPICSXL,Renault,3339.78,157
67944,KACYZNLFC,Dodge,5159.79,50
7766,KRVXHQMTV,Lotus,6469.44,80
59866,OMRAEZFGQ,Bugatti,633.64,22
5933,UTEEAVSNN,Lotus,8891.29,180
4768,NSJJVWVID,Williams,3994.48,90
60163,DRMWSWWDX,Haas,6953.86,43
63490,IMWIPIKPX,Nissan,3127.65,121
3955,YCNPEVQCY,Pirelli,8191.05,154
1062,SUQEJGSOX,Williams,9352.38,155
6554,NJVZTPIEF,Jeep,9437.89,181
2489,YIMHLADRN,Mobil 1,202.49,70
54908,CDYREXNBP,Volkswagen,3606.25,77
91131,CZVAXAWKG,Pagani,2572.68,116
40572,EBMZUCRDZ,Maserati,6334.80,72
23109,CZOUUWSLH,Ferrari,2674.26,80
45086,WFYNCLCZW,Bosch,7422.02,20
50944,HIUAQLQCS,Audi,585.36,39
48787,OHPTMYYMO,Oracle,3847.29,171
10850,DJSSRGUNF,Honda,4895.94,88
77885,DCGABCZPT,Shell,8394.84,188
66144,FNILQZZBR,Red Bull,2492.95,80
75685,TFZKSFWYW,BMW,8893.15,35
30713,WHPMJXYUO,Maserati,5917.45,138
47297,NJJCMDXYW,Peugeot,8521.15,43
79693,UZUBZIWMR,Michelin,7585.06,99
86389,YPUQDXZSP,Chevrolet,4348.31,139
96316,KVGKARAKD,Porsche,8568.19,177
60136,OVHCNHVYS,Mazda,6265.43,50
93639,NALEDQTCX,Alfa Romeo,8109.00,200
39157,YSIABRUUR,McLaren,7185.15,162
48727,AZRQHOUSD,Aramco,4400.80,65
19544,BZXYNKKRT,Ferrari,4852.52,42
86589,EPIUGIWFG,Land Rover,7246.92,107
61057,WDBZIJAMJ,Alfa Romeo,2192.54,67
68533,DNQGQKRMS,Bosch,5033.28,57
54819,XRTSCSGSF,Sauber,3241.95,79
14747,CWKBWBVHT,Pagani,5460.31,167
32697,WPWENBNUN,Monster,614.64,199
58393,CWLJURGYS,BMW,3830.05,94
62077,XFYSCFKUF,Monster,4126.52,153
25218,YQKGXIKQH,Aston Martin,2839.67,71
7466,HJXPOLGPJ,Monster,6224.77,7
21517,GSZNGQNII,Oracle,5968.92,10
67769,TABGBQVGK,Goodyear,5898.39,192
